Timestamp,Value,Type
12:44:20 AM.209,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.209,"Soil Moisture: 43.00 %\r\n",received
12:44:20 AM.289,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.289,"Soil Moisture: 45.00 %\r\n",received
12:44:20 AM.386,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.386,"Soil Moisture: 48.00 %\r\n",received
12:44:20 AM.497,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.497,"Soil Moisture: 48.00 %\r\n",received
12:44:20 AM.594,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.594,"Soil Moisture: 48.00 %\r\n",received
12:44:20 AM.690,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.690,"Soil Moisture: 44.00 %\r\n",received
12:44:20 AM.768,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.768,"Soil Moisture: 48.00 %\r\n",received
12:44:20 AM.865,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.865,"Soil Moisture: 48.00 %\r\n",received
12:44:20 AM.989,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.989,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.56,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.56,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.153,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.153,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.233,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.233,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.328,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.328,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.442,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.442,"Soil Moisture: 48.00 %\r\n",received
12:44:21 AM.536,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.536,"Soil Moisture: 51.00 %\r\n",received
12:44:21 AM.650,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.650,"Soil Moisture: 45.00 %\r\n",received
12:44:21 AM.745,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.745,"Soil Moisture: 42.00 %\r\n",received
12:44:21 AM.842,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.842,"Soil Moisture: 39.00 %\r\n",received
12:44:21 AM.936,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:21 AM.936,"Soil Moisture: 36.00 %\r\n",received
12:44:22 AM.32,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.32,"Soil Moisture: 34.00 %\r\n",received
12:44:22 AM.130,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.130,"Soil Moisture: 34.00 %\r\n",received
12:44:22 AM.225,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.225,"Soil Moisture: 35.00 %\r\n",received
12:44:22 AM.321,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.321,"Soil Moisture: 29.00 %\r\n",received
12:44:22 AM.418,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.418,"Soil Moisture: 26.00 %\r\n",received
12:44:22 AM.513,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.513,"Soil Moisture: 25.00 %\r\n",received
12:44:22 AM.610,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.610,"Soil Moisture: 24.00 %\r\n",received
12:44:22 AM.690,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.690,"Soil Moisture: 23.00 %\r\n",received
12:44:22 AM.801,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.801,"Soil Moisture: 23.00 %\r\n",received
12:44:22 AM.897,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.897,"Soil Moisture: 23.00 %\r\n",received
12:44:22 AM.994,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:22 AM.994,"Soil Moisture: 23.00 %\r\n",received
12:44:23 AM.89,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.89,"Soil Moisture: 23.00 %\r\n",received
12:44:23 AM.169,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.169,"Soil Moisture: 23.00 %\r\n",received
12:44:23 AM.265,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.265,"Soil Moisture: 23.00 %\r\n",received
12:44:23 AM.361,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.361,"Soil Moisture: 24.00 %\r\n",received
12:44:23 AM.490,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.490,"Soil Moisture: 25.00 %\r\n",received
12:44:23 AM.601,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.601,"Soil Moisture: 25.00 %\r\n",received
12:44:23 AM.698,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.698,"Soil Moisture: 24.00 %\r\n",received
12:44:23 AM.793,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.793,"Soil Moisture: 24.00 %\r\n",received
12:44:23 AM.873,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.873,"Soil Moisture: 24.00 %\r\n",received
12:44:23 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:23 AM.969,"Soil Moisture: 24.00 %\r\n",received
12:44:24 AM.66,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.66,"Soil Moisture: 25.00 %\r\n",received
12:44:24 AM.177,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.177,"Soil Moisture: 26.00 %\r\n",received
12:44:24 AM.273,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.273,"Soil Moisture: 25.00 %\r\n",received
12:44:24 AM.353,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.353,"Soil Moisture: 25.00 %\r\n",received
12:44:24 AM.449,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.449,"Soil Moisture: 24.00 %\r\n",received
12:44:24 AM.545,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.545,"Soil Moisture: 24.00 %\r\n",received
12:44:24 AM.642,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.642,"Soil Moisture: 24.00 %\r\n",received
12:44:24 AM.754,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:24 AM.754,"Soil Moisture: 24.00 %\r\n",received
12:44:24 AM.833,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
