time,value
2025-04-13T00:52:47.525267291Z,44
2025-04-13T00:52:48.081418334Z,45
2025-04-13T00:52:48.841626605Z,44
2025-04-13T00:52:49.398288646Z,45
2025-04-13T00:52:49.957067393Z,44
2025-04-13T00:52:50.537480331Z,45
2025-04-13T00:52:51.093063849Z,40
2025-04-13T00:52:51.649963128Z,45
2025-04-13T00:52:52.206999349Z,44
2025-04-13T00:52:52.879040576Z,45
2025-04-13T00:52:53.522882548Z,44
2025-04-13T00:52:54.1695135Z,45
2025-04-13T00:52:54.857499552Z,43
2025-04-13T00:52:55.413288985Z,44
2025-04-13T00:52:55.971000747Z,45
2025-04-13T00:52:56.549871717Z,46
2025-04-13T00:52:57.113248913Z,44
2025-04-13T00:52:57.749374932Z,45
2025-04-13T00:52:58.325196584Z,44
2025-04-13T00:52:58.885285497Z,45
2025-04-13T00:52:59.441112511Z,44
2025-04-13T00:52:59.997924153Z,45
2025-04-13T00:53:00.557152189Z,44
2025-04-13T00:53:01.133177933Z,45
2025-04-13T00:53:01.693228706Z,44
2025-04-13T00:53:02.521567776Z,45
2025-04-13T00:53:03.093876779Z,44
2025-04-13T00:53:03.650934575Z,46
2025-04-13T00:53:04.202818759Z,45
2025-04-13T00:53:04.787121064Z,48
2025-04-13T00:53:05.434414917Z,47
2025-04-13T00:53:06.006028626Z,45
2025-04-13T00:53:06.561291857Z,43
2025-04-13T00:53:07.230355549Z,46
2025-04-13T00:53:07.785027545Z,45
2025-04-13T00:53:08.344828706Z,44
2025-04-13T00:53:08.928961562Z,45
2025-04-13T00:53:09.479234268Z,43
2025-04-13T00:53:10.035027277Z,45
2025-04-13T00:53:10.593510967Z,44
2025-04-13T00:53:11.177069458Z,49
2025-04-13T00:53:11.730054771Z,45
2025-04-13T00:53:12.37312606Z,44
2025-04-13T00:53:12.957935857Z,45
2025-04-13T00:53:13.510076407Z,44
2025-04-13T00:53:14.073091467Z,45
2025-04-13T00:53:14.625081311Z,43
2025-04-13T00:53:15.135163933Z,39
2025-04-13T00:53:15.690833779Z,45
2025-04-13T00:53:16.429495776Z,44
2025-04-13T00:53:17.008996378Z,43
2025-04-13T00:53:17.565813241Z,45
2025-04-13T00:53:18.209190913Z,44
2025-04-13T00:53:18.769576713Z,45
2025-04-13T00:53:19.446516344Z,49
2025-04-13T00:53:19.995178757Z,44
2025-04-13T00:53:20.55767139Z,48
2025-04-13T00:53:21.125336023Z,44
2025-04-13T00:53:21.681304976Z,46
2025-04-13T00:53:22.237313629Z,45
2025-04-13T00:53:22.79315495Z,44
2025-04-13T00:53:23.461280243Z,45
2025-04-13T00:53:24.01913836Z,49
2025-04-13T00:53:24.576004526Z,44
2025-04-13T00:53:25.155009722Z,46
2025-04-13T00:53:25.907911511Z,44
2025-04-13T00:53:26.466852601Z,45
2025-04-13T00:53:27.10920163Z,43
2025-04-13T00:53:27.781361798Z,45
2025-04-13T00:53:28.337558028Z,46
2025-04-13T00:53:28.891437182Z,40
2025-04-13T00:53:29.471327754Z,44
2025-04-13T00:53:30.025359517Z,45
2025-04-13T00:53:30.769391295Z,44
2025-04-13T00:53:31.317018483Z,45
2025-04-13T00:53:31.893186045Z,44
2025-04-13T00:53:32.449237073Z,45
2025-04-13T00:53:33.005339716Z,44
2025-04-13T00:53:33.589295063Z,45
2025-04-13T00:53:34.143380215Z,44
2025-04-13T00:53:34.701431585Z,45
2025-04-13T00:53:35.277824755Z,52
2025-04-13T00:53:35.777571897Z,45
2025-04-13T00:53:36.425291217Z,44
2025-04-13T00:53:36.980962726Z,45
2025-04-13T00:53:37.563260804Z,44
2025-04-13T00:53:38.122298568Z,45
2025-04-13T00:53:38.677284327Z,44
2025-04-13T00:53:39.230182235Z,46
2025-04-13T00:53:39.813364367Z,44
2025-04-13T00:53:40.373449893Z,45
2025-04-13T00:53:40.925264409Z,52
2025-04-13T00:53:41.481077947Z,46
2025-04-13T00:53:42.061230767Z,44
2025-04-13T00:53:42.707528803Z,43
2025-04-13T00:53:43.270215077Z,45
2025-04-13T00:53:43.9355288Z,44
2025-04-13T00:53:44.581157664Z,45
2025-04-13T00:53:45.155255203Z,43
2025-04-13T00:53:45.717162217Z,55
2025-04-13T00:53:46.291289819Z,50
2025-04-13T00:53:46.850168789Z,45
2025-04-13T00:53:47.409246607Z,43
2025-04-13T00:53:47.995637953Z,44
2025-04-13T00:53:48.538035608Z,43
2025-04-13T00:53:49.09577614Z,45
2025-04-13T00:53:49.65311976Z,43
2025-04-13T00:53:50.22987477Z,44
2025-04-13T00:53:50.787466933Z,43
2025-04-13T00:53:51.346034286Z,45
2025-04-13T00:53:51.899577455Z,44
2025-04-13T00:53:52.569119541Z,43
2025-04-13T00:53:53.125295702Z,45
2025-04-13T00:53:53.679553587Z,44
2025-04-13T00:53:54.261081416Z,37
2025-04-13T00:53:54.817232264Z,45
2025-04-13T00:53:55.481106737Z,44
2025-04-13T00:53:56.037423294Z,43
2025-04-13T00:53:56.632158779Z,44
2025-04-13T00:53:57.173096856Z,49
2025-04-13T00:53:57.730022592Z,44
2025-04-13T00:53:58.669067153Z,43
2025-04-13T00:53:59.224994854Z,45
2025-04-13T00:53:59.869076871Z,57
2025-04-13T00:54:00.450021371Z,46
2025-04-13T00:54:01.00735285Z,39
2025-04-13T00:54:01.561023938Z,47
2025-04-13T00:54:02.116905102Z,43
2025-04-13T00:54:02.697171073Z,42
2025-04-13T00:54:03.253324955Z,44
2025-04-13T00:54:03.807623894Z,46
2025-04-13T00:54:04.390301218Z,48
2025-04-13T00:54:04.945704636Z,53
2025-04-13T00:54:05.523681853Z,50
2025-04-13T00:54:06.094336826Z,45
2025-04-13T00:54:06.765083089Z,44
2025-04-13T00:54:07.321027262Z,51
2025-04-13T00:54:07.877353261Z,45
2025-04-13T00:54:08.549874647Z,43
2025-04-13T00:54:09.193126527Z,42
2025-04-13T00:54:09.750127616Z,44
2025-04-13T00:54:10.397123202Z,42
2025-04-13T00:54:10.978196847Z,45
2025-04-13T00:54:11.533259731Z,42
2025-04-13T00:54:12.087592941Z,44
2025-04-13T00:54:12.670041365Z,42
2025-04-13T00:54:13.223553605Z,45
2025-04-13T00:54:13.779294485Z,43
2025-04-13T00:54:14.335491176Z,45
2025-04-13T00:54:14.915543939Z,43
2025-04-13T00:54:15.491486158Z,44
2025-04-13T00:54:16.049120405Z,45
2025-04-13T00:54:16.60514902Z,37
2025-04-13T00:54:17.185216209Z,45
2025-04-13T00:54:17.74105857Z,50
2025-04-13T00:54:18.296910469Z,43
2025-04-13T00:54:18.877062045Z,38
2025-04-13T00:54:19.434481172Z,44
2025-04-13T00:54:19.98772177Z,45
2025-04-13T00:54:20.543770682Z,44
2025-04-13T00:54:21.213884597Z,43
